Flow,min_data,q1_data,med_data,q3_data,max_data,min_iat,q1_iat,med_iat,q3_iat,max_iat,label
192.168.159.1:60334-192.168.159.131:1720,50,51.0,52.0,53.0,54,0.000357,0.000357,0.000357,0.000357,0.000357,1
192.168.159.131:1720-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000357,0.000357,0.000357,0.000357,0.000357,1
192.168.159.1:60334-192.168.159.131:143,50,51.0,52.0,53.0,54,0.000877,0.000877,0.000877,0.000877,0.000877,1
192.168.159.131:143-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000877,0.000877,0.000877,0.000877,0.000877,1
192.168.159.1:60334-192.168.159.131:113,50,51.0,52.0,53.0,54,0.000958,0.000958,0.000958,0.000958,0.000958,1
192.168.159.131:113-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000958,0.000958,0.000958,0.000958,0.000958,1
192.168.159.1:60334-192.168.159.131:993,50,51.0,52.0,53.0,54,0.001048,0.001048,0.001048,0.001048,0.001048,1
192.168.159.131:993-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001048,0.001048,0.001048,0.001048,0.001048,1
192.168.159.1:60334-192.168.159.131:256,50,51.0,52.0,53.0,54,0.001182,0.001182,0.001182,0.001182,0.001182,1
192.168.159.131:256-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001182,0.001182,0.001182,0.001182,0.001182,1
192.168.159.1:60334-192.168.159.131:1025,50,51.0,52.0,53.0,54,0.001235,0.001235,0.001235,0.001235,0.001235,1
192.168.159.131:1025-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001235,0.001235,0.001235,0.001235,0.001235,1
192.168.159.1:60334-192.168.159.131:111,50,51.0,52.0,53.0,54,0.000431,0.000431,0.000431,0.000431,0.000431,1
192.168.159.131:111-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000431,0.000431,0.000431,0.000431,0.000431,1
192.168.159.1:60334-192.168.159.131:23,50,51.0,52.0,53.0,54,0.000586,0.000586,0.000586,0.000586,0.000586,1
192.168.159.131:23-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000586,0.000586,0.000586,0.000586,0.000586,1
192.168.159.1:60334-192.168.159.131:199,50,51.0,52.0,53.0,54,0.000673,0.000673,0.000673,0.000673,0.000673,1
192.168.159.131:199-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000673,0.000673,0.000673,0.000673,0.000673,1
192.168.159.1:60334-192.168.159.131:587,50,51.0,52.0,53.0,54,0.000773,0.000773,0.000773,0.000773,0.000773,1
192.168.159.131:587-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000773,0.000773,0.000773,0.000773,0.000773,1
192.168.159.1:60334-192.168.159.131:135,50,51.0,52.0,53.0,54,0.000838,0.000838,0.000838,0.000838,0.000838,1
192.168.159.131:135-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000838,0.000838,0.000838,0.000838,0.000838,1
192.168.159.1:60334-192.168.159.131:1723,50,51.0,52.0,53.0,54,0.000886,0.000886,0.000886,0.000886,0.000886,1
192.168.159.131:1723-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000886,0.000886,0.000886,0.000886,0.000886,1
192.168.159.1:60334-192.168.159.131:554,50,51.0,52.0,53.0,54,0.000927,0.000927,0.000927,0.000927,0.000927,1
192.168.159.131:554-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000927,0.000927,0.000927,0.000927,0.000927,1
192.168.159.1:60334-192.168.159.131:110,50,51.0,52.0,53.0,54,0.000953,0.000953,0.000953,0.000953,0.000953,1
192.168.159.131:110-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000953,0.000953,0.000953,0.000953,0.000953,1
192.168.159.1:60334-192.168.159.131:53,50,51.0,52.0,53.0,54,0.001013,0.001013,0.001013,0.001013,0.001013,1
192.168.159.131:53-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.001013,0.001013,0.001013,0.001013,0.001013,1
192.168.159.1:60334-192.168.159.131:995,50,51.0,52.0,53.0,54,0.000404,0.000404,0.000404,0.000404,0.000404,1
192.168.159.131:995-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000404,0.000404,0.000404,0.000404,0.000404,1
192.168.159.1:60334-192.168.159.131:3389,50,51.0,52.0,53.0,54,0.000530,0.000530,0.000530,0.000530,0.000530,1
192.168.159.131:3389-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000530,0.000530,0.000530,0.000530,0.000530,1
192.168.159.1:60334-192.168.159.131:3689,50,51.0,52.0,53.0,54,0.000606,0.000606,0.000606,0.000606,0.000606,1
192.168.159.131:3689-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000606,0.000606,0.000606,0.000606,0.000606,1
192.168.159.1:60334-192.168.159.131:3707,50,51.0,52.0,53.0,54,0.000669,0.000669,0.000669,0.000669,0.000669,1
192.168.159.131:3707-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000669,0.000669,0.000669,0.000669,0.000669,1
192.168.159.1:60334-192.168.159.131:1016,50,51.0,52.0,53.0,54,0.000717,0.000717,0.000717,0.000717,0.000717,1
192.168.159.131:1016-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000717,0.000717,0.000717,0.000717,0.000717,1
192.168.159.1:60334-192.168.159.131:2889,50,51.0,52.0,53.0,54,0.000793,0.000793,0.000793,0.000793,0.000793,1
192.168.159.131:2889-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000793,0.000793,0.000793,0.000793,0.000793,1
192.168.159.1:60334-192.168.159.131:392,50,51.0,52.0,53.0,54,0.000862,0.000862,0.000862,0.000862,0.000862,1
192.168.159.131:392-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000862,0.000862,0.000862,0.000862,0.000862,1
192.168.159.1:60334-192.168.159.131:2201,50,51.0,52.0,53.0,54,0.000913,0.000913,0.000913,0.000913,0.000913,1
192.168.159.131:2201-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000913,0.000913,0.000913,0.000913,0.000913,1
192.168.159.1:60334-192.168.159.131:1307,50,51.0,52.0,53.0,54,0.000963,0.000963,0.000963,0.000963,0.000963,1
192.168.159.131:1307-192.168.159.1:60334,50,51.0,52.0,53.0,54,0.000963,0.000963,0.000963,0.000963,0.000963,1
192.168.159.1:60334-192.168.159.131:3850,50,51.0,52.0,53.0,54,0.001035,0.001035,0.001035,0.001035,0.001035,1
