Flow,min_data,q1_data,med_data,q3_data,max_data,min_iat,q1_iat,med_iat,q3_iat,max_iat,label
172.16.0.1:40490-192.168.10.50:80,66,66.0,74.0,74.0,413,0.000019,0.00009400,0.000129,0.00030725,0.000812,1
172.16.0.1:40490-192.168.10.50:80,66,66.0,422.0,430.0,1115,0.000048,0.00050250,0.000832,0.00522200,0.017858,1
172.16.0.1:40490-192.168.10.50:80,66,66.0,66.0,522.0,807,0.000201,0.00941175,0.024642,1.26893400,4.965330,1
192.168.10.50:80-172.16.0.1:40490,66,66.0,74.0,74.0,413,0.000019,0.00009400,0.000129,0.00030725,0.000812,1
192.168.10.50:80-172.16.0.1:40490,66,66.0,422.0,430.0,1115,0.000048,0.00050250,0.000832,0.00522200,0.017858,1
192.168.10.50:80-172.16.0.1:40490,66,66.0,66.0,522.0,807,0.000201,0.00941175,0.024642,1.26893400,4.965330,1
172.16.0.1:40492-192.168.10.50:80,66,66.0,66.0,74.0,74,0.000095,0.00025550,0.0004735,1.25391475,5.013745,1
192.168.10.50:80-172.16.0.1:40492,66,66.0,66.0,74.0,74,0.000095,0.00025550,0.0004735,1.25391475,5.013745,1
172.16.0.1:40494-192.168.10.50:80,66,66.0,66.0,74.0,74,0.000130,0.00028825,0.000576,1.25062500,5.000067,1
192.168.10.50:80-172.16.0.1:40494,66,66.0,66.0,74.0,74,0.000130,0.00028825,0.000576,1.25062500,5.000067,1
172.16.0.1:40500-192.168.10.50:80,66,66.0,74.0,74.0,353,0.000017,0.00008825,0.0001275,0.00031025,0.000812,1
172.16.0.1:40500-192.168.10.50:80,66,422.0,431.0,572.0,1115,0.000627,0.00275475,0.006782,0.01197300,0.017592,1
172.16.0.1:40500-192.168.10.50:80,66,454.0,807.0,2200.0,7306,0.000113,0.00064250,0.001075,0.00616100,0.020651,1
172.16.0.1:40500-192.168.10.50:80,66,66.0,66.0,66.0,66,0.000075,0.00060300,0.019831,1.27041675,4.965018,1
192.168.10.50:80-172.16.0.1:40500,66,66.0,74.0,74.0,353,0.000017,0.00008825,0.0001275,0.00031025,0.000812,1
192.168.10.50:80-172.16.0.1:40500,66,422.0,431.0,572.0,1115,0.000627,0.00275475,0.006782,0.01197300,0.017592,1
192.168.10.50:80-172.16.0.1:40500,66,454.0,807.0,2200.0,7306,0.000113,0.00064250,0.001075,0.00616100,0.020651,1
192.168.10.50:80-172.16.0.1:40500,66,66.0,66.0,66.0,66,0.000075,0.00060300,0.019831,1.27041675,4.965018,1
172.16.0.1:40502-192.168.10.50:80,66,66.0,66.0,74.0,74,0.000084,0.00023250,0.0004025,1.25074400,5.001407,1
192.168.10.50:80-172.16.0.1:40502,66,66.0,66.0,74.0,74,0.000084,0.00023250,0.0004025,1.25074400,5.001407,1
172.16.0.1:40504-192.168.10.50:80,66,66.0,74.0,74.0,413,0.000042,0.00006750,0.0000895,0.00028150,0.000817,1
172.16.0.1:40504-192.168.10.50:80,66,66.0,422.0,430.0,1114,0.000549,0.00192975,0.0089885,0.02130300,0.038451,1
172.16.0.1:40504-192.168.10.50:80,66,66.0,396.0,420.0,3590,0.000441,0.00065850,0.0055335,0.01355425,0.023209,1
172.16.0.1:40504-192.168.10.50:80,66,66.0,66.0,66.0,3689,0.000665,0.00074675,0.0204635,1.27067875,4.962256,1
192.168.10.50:80-172.16.0.1:40504,66,66.0,74.0,74.0,413,0.000042,0.00006750,0.0000895,0.00028150,0.000817,1
192.168.10.50:80-172.16.0.1:40504,66,66.0,422.0,430.0,1114,0.000549,0.00192975,0.0089885,0.02130300,0.038451,1
192.168.10.50:80-172.16.0.1:40504,66,66.0,396.0,420.0,3590,0.000441,0.00065850,0.0055335,0.01355425,0.023209,1
192.168.10.50:80-172.16.0.1:40504,66,66.0,66.0,66.0,3689,0.000665,0.00074675,0.0204635,1.27067875,4.962256,1
172.16.0.1:40556-192.168.10.50:80,66,66.0,74.0,74.0,413,0.000018,0.00008250,0.000119,0.00031650,0.000864,1
172.16.0.1:40556-192.168.10.50:80,66,66.0,422.0,430.0,1114,0.000635,0.00173375,0.0096545,0.02226950,0.037451,1
192.168.10.50:80-172.16.0.1:40556,66,66.0,74.0,74.0,413,0.000018,0.00008250,0.000119,0.00031650,0.000864,1
192.168.10.50:80-172.16.0.1:40556,66,66.0,422.0,430.0,1114,0.000635,0.00173375,0.0096545,0.02226950,0.037451,1
192.168.0.170:1387-192.168.0.128:80,54,55.5,57.0,58.5,60,0.000048,0.000048,0.000048,0.000048,0.000048,1
192.168.0.128:80-192.168.0.170:1387,54,55.5,57.0,58.5,60,0.000048,0.000048,0.000048,0.000048,0.000048,1
192.168.0.170:1388-192.168.0.128:80,54,55.5,57.0,58.5,60,0.000128,0.000128,0.000128,0.000128,0.000128,1
192.168.0.128:80-192.168.0.170:1388,54,55.5,57.0,58.5,60,0.000128,0.000128,0.000128,0.000128,0.000128,1
192.168.0.170:1389-192.168.0.128:80,54,55.5,57.0,58.5,60,0.000044,0.000044,0.000044,0.000044,0.000044,1
192.168.0.128:80-192.168.0.170:1389,54,55.5,57.0,58.5,60,0.000044,0.000044,0.000044,0.000044,0.000044,1
192.168.0.170:1390-192.168.0.128:80,54,55.5,57.0,58.5,60,0.000083,0.000083,0.000083,0.000083,0.000083,1
