,frame.time_relative,direction,frame.len,device_mac,label_name,label
0,0.0,0,74,00:c1:b1:14:eb:31,Friday-Filtrado,1
1,0.000139,0,74,00:19:b9:0a:69:f1,Friday-Filtrado,1
2,0.000951,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
3,0.0009699999999999999,0,413,00:c1:b1:14:eb:31,Friday-Filtrado,1
4,0.0010890000000000001,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
5,0.136535,0,430,00:19:b9:0a:69:f1,Friday-Filtrado,1
6,0.137189,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
7,0.138199,0,422,00:c1:b1:14:eb:31,Friday-Filtrado,1
8,0.138247,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
9,0.156105,0,1115,00:19:b9:0a:69:f1,Friday-Filtrado,1
10,0.175282,0,522,00:c1:b1:14:eb:31,Friday-Filtrado,1
11,0.175378,0,74,00:c1:b1:14:eb:31,Friday-Filtrado,1
12,0.175473,0,74,00:19:b9:0a:69:f1,Friday-Filtrado,1
13,0.176111,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
14,0.18776400000000001,0,807,00:19:b9:0a:69:f1,Friday-Filtrado,1
15,0.224566,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
16,5.189856,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
17,5.189896,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
18,5.190097,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
19,5.190165,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
20,5.190758,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
21,5.190764,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
22,8.676577,0,74,00:c1:b1:14:eb:31,Friday-Filtrado,1
23,8.676707,0,74,00:19:b9:0a:69:f1,Friday-Filtrado,1
24,8.677518,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
25,13.677585,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
26,13.677926000000001,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
27,13.678728,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
28,362.362631,0,74,00:c1:b1:14:eb:31,Friday-Filtrado,1
29,362.362774,0,74,00:19:b9:0a:69:f1,Friday-Filtrado,1
30,362.363586,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
31,362.36360299999996,0,353,00:c1:b1:14:eb:31,Friday-Filtrado,1
32,362.363715,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
33,362.36610099999996,0,572,00:19:b9:0a:69:f1,Friday-Filtrado,1
34,362.36672799999997,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
35,362.38432,0,422,00:c1:b1:14:eb:31,Friday-Filtrado,1
36,362.387784,0,1115,00:19:b9:0a:69:f1,Friday-Filtrado,1
37,362.397884,0,431,00:c1:b1:14:eb:31,Friday-Filtrado,1
38,362.39847599999996,0,807,00:19:b9:0a:69:f1,Friday-Filtrado,1
39,362.39851200000004,0,74,00:c1:b1:14:eb:31,Friday-Filtrado,1
40,362.398596,0,74,00:19:b9:0a:69:f1,Friday-Filtrado,1
41,362.399119,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
42,362.399807,0,454,00:c1:b1:14:eb:31,Friday-Filtrado,1
43,362.420458,0,7306,00:19:b9:0a:69:f1,Friday-Filtrado,1
44,362.420571,0,2200,00:19:b9:0a:69:f1,Friday-Filtrado,1
45,362.42139,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
46,362.421727,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
47,362.46061000000003,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
48,367.40052599999996,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
49,367.400808,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
50,367.401581,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
51,367.42562799999996,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
52,367.426407,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
53,367.42648199999996,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
54,368.280413,0,74,00:c1:b1:14:eb:31,Friday-Filtrado,1
55,368.28051600000003,0,74,00:19:b9:0a:69:f1,Friday-Filtrado,1
56,368.281333,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
57,368.281375,0,413,00:c1:b1:14:eb:31,Friday-Filtrado,1
58,368.281451,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
59,368.283578,0,430,00:19:b9:0a:69:f1,Friday-Filtrado,1
60,368.284127,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
61,368.299714,0,422,00:c1:b1:14:eb:31,Friday-Filtrado,1
62,368.302104,0,1114,00:19:b9:0a:69:f1,Friday-Filtrado,1
63,368.340555,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
64,371.498445,0,396,00:c1:b1:14:eb:31,Friday-Filtrado,1
65,371.521654,0,3590,00:19:b9:0a:69:f1,Friday-Filtrado,1
66,371.522385,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
67,371.52282599999995,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
68,371.533162,0,420,00:c1:b1:14:eb:31,Friday-Filtrado,1
69,371.559585,0,3689,00:19:b9:0a:69:f1,Friday-Filtrado,1
70,371.560359,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
71,371.60051200000004,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
72,376.562768,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
73,376.56343300000003,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
74,376.563488,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
75,3009.9988710000002,0,74,00:c1:b1:14:eb:31,Friday-Filtrado,1
76,3009.999005,0,74,00:19:b9:0a:69:f1,Friday-Filtrado,1
77,3009.999869,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
78,3009.999887,0,413,00:c1:b1:14:eb:31,Friday-Filtrado,1
79,3009.999991,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
80,3010.001132,0,430,00:19:b9:0a:69:f1,Friday-Filtrado,1
81,3010.001767,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
82,3010.0189760000003,0,422,00:c1:b1:14:eb:31,Friday-Filtrado,1
83,3010.021076,0,1114,00:19:b9:0a:69:f1,Friday-Filtrado,1
84,3010.058527,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
85,3015.026225,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
86,3015.026856,0,66,00:c1:b1:14:eb:31,Friday-Filtrado,1
87,3015.026932,0,66,00:19:b9:0a:69:f1,Friday-Filtrado,1
88,0.0,0,42,00:50:56:c0:00:08,Scan-1,1
89,0.000337,0,42,00:0c:29:48:50:c7,Scan-1,1
90,2.497008,0,42,00:50:56:c0:00:08,Scan-1,1
91,2.497177,0,42,00:0c:29:48:50:c7,Scan-1,1
92,16.578692999999998,0,50,00:50:56:c0:00:08,Scan-1,1
93,16.578733,0,38,00:50:56:c0:00:08,Scan-1,1
94,16.578777,0,50,00:50:56:c0:00:08,Scan-1,1
95,16.578801000000002,0,38,00:50:56:c0:00:08,Scan-1,1
96,16.57883,0,50,00:50:56:c0:00:08,Scan-1,1
97,16.578879,0,38,00:50:56:c0:00:08,Scan-1,1
98,16.578920999999998,0,50,00:50:56:c0:00:08,Scan-1,1
99,16.578944,0,38,00:50:56:c0:00:08,Scan-1,1
100,16.578969,0,50,00:50:56:c0:00:08,Scan-1,1
101,16.579001,0,38,00:50:56:c0:00:08,Scan-1,1
102,16.579038,0,50,00:50:56:c0:00:08,Scan-1,1
103,16.579073,0,38,00:50:56:c0:00:08,Scan-1,1
104,16.579116,0,50,00:50:56:c0:00:08,Scan-1,1
105,16.579134,0,54,00:0c:29:48:50:c7,Scan-1,1
106,16.579152,0,38,00:50:56:c0:00:08,Scan-1,1
107,16.57919,0,50,00:50:56:c0:00:08,Scan-1,1
108,16.579213,0,38,00:50:56:c0:00:08,Scan-1,1
109,16.579265,0,50,00:50:56:c0:00:08,Scan-1,1
