,frame.time_relative,direction,frame.len,device_mac,label
0,0.0,0,42,00:50:56:c0:00:08,Scan-1
1,0.000337,0,42,00:0c:29:48:50:c7,Scan-1
2,2.497008,0,42,00:50:56:c0:00:08,Scan-1
3,2.497177,0,42,00:0c:29:48:50:c7,Scan-1
4,16.578693,0,50,00:50:56:c0:00:08,Scan-1
5,16.578733,0,38,00:50:56:c0:00:08,Scan-1
6,16.578777,0,50,00:50:56:c0:00:08,Scan-1
7,16.578801,0,38,00:50:56:c0:00:08,Scan-1
8,16.57883,0,50,00:50:56:c0:00:08,Scan-1
9,16.578879,0,38,00:50:56:c0:00:08,Scan-1
10,16.578921,0,50,00:50:56:c0:00:08,Scan-1
11,16.578944,0,38,00:50:56:c0:00:08,Scan-1
12,16.578969,0,50,00:50:56:c0:00:08,Scan-1
13,16.579001,0,38,00:50:56:c0:00:08,Scan-1
14,16.579038,0,50,00:50:56:c0:00:08,Scan-1
15,16.579073,0,38,00:50:56:c0:00:08,Scan-1
16,16.579116,0,50,00:50:56:c0:00:08,Scan-1
17,16.579134,0,54,00:0c:29:48:50:c7,Scan-1
18,16.579152,0,38,00:50:56:c0:00:08,Scan-1
19,16.57919,0,50,00:50:56:c0:00:08,Scan-1
20,16.579213,0,38,00:50:56:c0:00:08,Scan-1
21,16.579265,0,50,00:50:56:c0:00:08,Scan-1
22,16.579287,0,38,00:50:56:c0:00:08,Scan-1
23,16.579325,0,50,00:50:56:c0:00:08,Scan-1
24,16.579345,0,38,00:50:56:c0:00:08,Scan-1
25,16.579798,0,54,00:0c:29:48:50:c7,Scan-1
26,16.579996,0,54,00:0c:29:48:50:c7,Scan-1
27,16.580164,0,54,00:0c:29:48:50:c7,Scan-1
28,16.580372,0,54,00:0c:29:48:50:c7,Scan-1
29,16.58056,0,54,00:0c:29:48:50:c7,Scan-1
30,16.582624,0,50,00:50:56:c0:00:08,Scan-1
31,16.582659,0,38,00:50:56:c0:00:08,Scan-1
32,16.582683,0,50,00:50:56:c0:00:08,Scan-1
33,16.582701,0,38,00:50:56:c0:00:08,Scan-1
34,16.58272,0,50,00:50:56:c0:00:08,Scan-1
35,16.582738,0,38,00:50:56:c0:00:08,Scan-1
36,16.582757,0,50,00:50:56:c0:00:08,Scan-1
37,16.582775,0,38,00:50:56:c0:00:08,Scan-1
38,16.582794,0,50,00:50:56:c0:00:08,Scan-1
39,16.582812,0,38,00:50:56:c0:00:08,Scan-1
40,16.582835,0,50,00:50:56:c0:00:08,Scan-1
41,16.582852,0,38,00:50:56:c0:00:08,Scan-1
42,16.58287,0,50,00:50:56:c0:00:08,Scan-1
43,16.582888,0,38,00:50:56:c0:00:08,Scan-1
44,16.582908,0,50,00:50:56:c0:00:08,Scan-1
45,16.582926,0,38,00:50:56:c0:00:08,Scan-1
46,16.582945,0,50,00:50:56:c0:00:08,Scan-1
47,16.582962,0,38,00:50:56:c0:00:08,Scan-1
48,16.582981,0,50,00:50:56:c0:00:08,Scan-1
49,16.582998,0,38,00:50:56:c0:00:08,Scan-1
50,16.583021,0,50,00:50:56:c0:00:08,Scan-1
51,16.583038,0,38,00:50:56:c0:00:08,Scan-1
52,16.583055,0,54,00:0c:29:48:50:c7,Scan-1
53,16.58306,0,50,00:50:56:c0:00:08,Scan-1
54,16.583077,0,38,00:50:56:c0:00:08,Scan-1
55,16.583306,0,54,00:0c:29:48:50:c7,Scan-1
56,16.583467,0,54,00:0c:29:48:50:c7,Scan-1
57,16.583608,0,54,00:0c:29:48:50:c7,Scan-1
58,16.583708,0,54,00:0c:29:48:50:c7,Scan-1
59,16.583794,0,54,00:0c:29:48:50:c7,Scan-1
60,16.583872,0,54,00:0c:29:48:50:c7,Scan-1
61,16.583974,0,54,00:0c:29:48:50:c7,Scan-1
62,16.584073,0,54,00:0c:29:48:50:c7,Scan-1
63,16.587865,0,50,00:50:56:c0:00:08,Scan-1
64,16.587892,0,38,00:50:56:c0:00:08,Scan-1
65,16.58791,0,50,00:50:56:c0:00:08,Scan-1
66,16.587926,0,38,00:50:56:c0:00:08,Scan-1
67,16.587945,0,50,00:50:56:c0:00:08,Scan-1
68,16.587959,0,38,00:50:56:c0:00:08,Scan-1
69,16.587974,0,50,00:50:56:c0:00:08,Scan-1
70,16.587987,0,38,00:50:56:c0:00:08,Scan-1
71,16.588001,0,50,00:50:56:c0:00:08,Scan-1
72,16.588017,0,38,00:50:56:c0:00:08,Scan-1
73,16.588031,0,50,00:50:56:c0:00:08,Scan-1
74,16.588044,0,38,00:50:56:c0:00:08,Scan-1
75,16.58806,0,50,00:50:56:c0:00:08,Scan-1
76,16.588077,0,38,00:50:56:c0:00:08,Scan-1
77,16.588092,0,50,00:50:56:c0:00:08,Scan-1
78,16.588106,0,38,00:50:56:c0:00:08,Scan-1
79,16.588121,0,50,00:50:56:c0:00:08,Scan-1
80,16.588134,0,38,00:50:56:c0:00:08,Scan-1
81,16.588148,0,50,00:50:56:c0:00:08,Scan-1
82,16.588161,0,38,00:50:56:c0:00:08,Scan-1
83,16.588175,0,50,00:50:56:c0:00:08,Scan-1
84,16.588187,0,38,00:50:56:c0:00:08,Scan-1
85,16.588205,0,50,00:50:56:c0:00:08,Scan-1
86,16.588219,0,38,00:50:56:c0:00:08,Scan-1
87,16.588233,0,50,00:50:56:c0:00:08,Scan-1
88,16.588245,0,38,00:50:56:c0:00:08,Scan-1
89,16.588259,0,50,00:50:56:c0:00:08,Scan-1
90,16.588269,0,54,00:0c:29:48:50:c7,Scan-1
91,16.588273,0,38,00:50:56:c0:00:08,Scan-1
92,16.588289,0,50,00:50:56:c0:00:08,Scan-1
93,16.588302,0,38,00:50:56:c0:00:08,Scan-1
94,16.588319,0,50,00:50:56:c0:00:08,Scan-1
95,16.588332,0,38,00:50:56:c0:00:08,Scan-1
96,16.588347,0,50,00:50:56:c0:00:08,Scan-1
97,16.588361,0,38,00:50:56:c0:00:08,Scan-1
98,16.588377,0,50,00:50:56:c0:00:08,Scan-1
99,16.588392,0,38,00:50:56:c0:00:08,Scan-1
100,16.588475,0,54,00:0c:29:48:50:c7,Scan-1
101,16.58858,0,54,00:0c:29:48:50:c7,Scan-1
102,16.58867,0,54,00:0c:29:48:50:c7,Scan-1
103,16.588748,0,54,00:0c:29:48:50:c7,Scan-1
104,16.588853,0,54,00:0c:29:48:50:c7,Scan-1
105,16.588954,0,54,00:0c:29:48:50:c7,Scan-1
106,16.589034,0,54,00:0c:29:48:50:c7,Scan-1
107,16.589111,0,54,00:0c:29:48:50:c7,Scan-1
108,16.58921,0,54,00:0c:29:48:50:c7,Scan-1
109,16.589289,0,54,00:0c:29:48:50:c7,Scan-1
110,16.589367,0,54,00:0c:29:48:50:c7,Scan-1
