,frame.time_relative,direction,frame.len,device_mac,label
0,0.0,0,74,00:c1:b1:14:eb:31,Friday-Filtrado
1,0.000139,0,74,00:19:b9:0a:69:f1,Friday-Filtrado
2,0.000951,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
3,0.00097,0,413,00:c1:b1:14:eb:31,Friday-Filtrado
4,0.001089,0,66,00:19:b9:0a:69:f1,Friday-Filtrado
5,0.136535,0,430,00:19:b9:0a:69:f1,Friday-Filtrado
6,0.137189,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
7,0.138199,0,422,00:c1:b1:14:eb:31,Friday-Filtrado
8,0.138247,0,66,00:19:b9:0a:69:f1,Friday-Filtrado
9,0.156105,0,1115,00:19:b9:0a:69:f1,Friday-Filtrado
10,0.175282,0,522,00:c1:b1:14:eb:31,Friday-Filtrado
11,0.175378,0,74,00:c1:b1:14:eb:31,Friday-Filtrado
12,0.175473,0,74,00:19:b9:0a:69:f1,Friday-Filtrado
13,0.176111,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
14,0.187764,0,807,00:19:b9:0a:69:f1,Friday-Filtrado
15,0.224566,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
16,5.189856,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
17,5.189896,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
18,5.190097,0,66,00:19:b9:0a:69:f1,Friday-Filtrado
19,5.190165,0,66,00:19:b9:0a:69:f1,Friday-Filtrado
20,5.190758,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
21,5.190764,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
22,8.676577,0,74,00:c1:b1:14:eb:31,Friday-Filtrado
23,8.676707,0,74,00:19:b9:0a:69:f1,Friday-Filtrado
24,8.677518,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
25,13.677585,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
26,13.677926,0,66,00:19:b9:0a:69:f1,Friday-Filtrado
27,13.678728,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
28,362.362631,0,74,00:c1:b1:14:eb:31,Friday-Filtrado
29,362.362774,0,74,00:19:b9:0a:69:f1,Friday-Filtrado
30,362.363586,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
31,362.363603,0,353,00:c1:b1:14:eb:31,Friday-Filtrado
32,362.363715,0,66,00:19:b9:0a:69:f1,Friday-Filtrado
33,362.366101,0,572,00:19:b9:0a:69:f1,Friday-Filtrado
34,362.366728,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
35,362.38432,0,422,00:c1:b1:14:eb:31,Friday-Filtrado
36,362.387784,0,1115,00:19:b9:0a:69:f1,Friday-Filtrado
37,362.397884,0,431,00:c1:b1:14:eb:31,Friday-Filtrado
38,362.398476,0,807,00:19:b9:0a:69:f1,Friday-Filtrado
39,362.398512,0,74,00:c1:b1:14:eb:31,Friday-Filtrado
40,362.398596,0,74,00:19:b9:0a:69:f1,Friday-Filtrado
41,362.399119,0,66,00:c1:b1:14:eb:31,Friday-Filtrado
42,362.399807,0,454,00:c1:b1:14:eb:31,Friday-Filtrado
43,362.420458,0,7306,00:19:b9:0a:69:f1,Friday-Filtrado
