,frame.time_relative,direction,frame.len,device_mac,label
0,0.0,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
1,4.8e-05,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
2,1.003562,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
3,1.00369,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
4,2.002022,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
5,2.002066,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
6,2.151556,1,103,dc:a6:32:fb:69:b5,PortScanningAttack
7,3.002935,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
8,3.003018,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
9,4.001314,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
10,4.001399,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
11,5.001863,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
12,5.001942,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
13,6.004253,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
14,6.004295,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
15,7.006017,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
16,7.006098,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
17,8.00752,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
18,8.007565,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
19,9.007063,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
20,9.007146,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
21,10.007257,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
22,10.007302,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
23,11.007734,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
24,11.007779,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
25,12.010411,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
26,12.010456,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
27,13.010866,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
28,13.010955,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
29,14.012802,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
30,14.01285,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
31,15.015937,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
32,15.015985,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
33,16.020553,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
34,16.020643,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
35,17.022638,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
36,17.022684,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
37,18.022912,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
38,18.022994,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
39,19.024005,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
40,19.024053,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
41,20.021937,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
42,20.022021,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
43,21.025035,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
44,21.025083,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
45,21.06178,0,42,dc:a6:32:fb:69:b5,PortScanningAttack
46,21.06519,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
47,22.02372,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
48,22.023767,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
49,22.136615,1,103,dc:a6:32:fb:69:b5,PortScanningAttack
50,23.025999,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
51,23.026084,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
52,24.026275,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
53,24.026322,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
54,25.030389,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
55,25.030433,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
56,25.194057,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
57,25.194083,0,42,dc:a6:32:fb:69:b5,PortScanningAttack
58,26.030461,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
59,26.030506,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
60,27.030739,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
61,27.030786,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
62,28.03157,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
63,28.031655,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
64,29.031633,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
65,29.031678,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
66,30.031713,0,60,d8:f2:ca:8e:17:69,PortScanningAttack
67,30.03176,0,54,dc:a6:32:fb:69:b5,PortScanningAttack
